cod_uf,cod_munic,munic,agr10,agr11,agr12,agr13,ind10,ind11,ind12,ind13,ser1_10,ser1_11,ser1_12,ser1_13,apu10,apu11,apu12,apu13,vab10,vab11,vab12,vab13,imp10,imp11,imp12,imp13,pib10,pib11,pib12,pib13,pop10,pop11,pop12,pop13,pcap10,pcap11,pcap12,pcap13
33,3302007,Itagua¡,10321.519,11109.578,12325.796,16127.824,669970.855,1282366.607,1569783.806,1668000.213,2857723.879,2818123.069,3311973.405,3968846.062,534206.796,606564.235,677558.824,824366.786,4072223.048,4718163.488,5571641.831,6477340.886,587994.635,516203.104,569652.246,526460.816,4660217.683,5234366.592,6141294.077,7003801.701,109163,111171,113182,115542,42690.45,47083.92,54260.34,60616.93
33,3302056,Italva,8347.373,10399.075,11594.96,12676.978,44326.554,75521.293,83909.134,71732.138,47949.696,59514.769,69486.639,72940.987,66583.505,74073.158,79988.139,91962.558,167207.129,219508.295,244978.872,249312.661,-2574.942,-645.487,724.125,9133.567,164632.186,218862.808,245702.998,258446.229,14027,14174,14281,14405,11736.81,15441.15,17204.89,17941.43
33,3302106,Itaocara,31073.539,46823.44,49121.656,40245.325,20474.392,23847.693,30906.427,35945.144,91135.017,105861.838,124207.57,154120.466,101898.493,113766.042,120132.45,136428.892,244581.442,290299.013,324368.104,366739.828,14944.083,19170.658,16919.513,31654.561,259525.525,309469.671,341287.617,398394.389,22902,22892,22884,22870,11332,13518.68,14913.81,17419.96
33,3302205,Itaperuna,33431.175,41280.258,48593.434,48466.759,237119.608,201938.939,293432.351,258178.178,672418.122,749940.434,843985.073,899725.832,396244.363,444555.871,475941.285,532644.059,1339213.267,1437715.502,1661952.143,1739014.829,109245.951,126867.426,145686.379,164798.239,1448459.218,1564582.928,1807638.521,1903813.068,95876,96542,97219,98004,15107.63,16206.24,18593.47,19425.87
33,3302254,Itatiaia,2113.483,2787.67,3003.841,5410.45,301877.88,264754.522,318061.154,240848.449,673408.54,1047709.154,1186165.68,1431570.468,144351.436,158980.023,177187.504,203040.836,1121751.34,1474231.368,1684418.179,1880870.203,328647.722,459122.4,625649.996,707114.884,1450399.062,1933353.768,2310068.175,2587985.087,28852,29094,29394,29744,50270.31,66451.98,78589.79,87008.64
33,3302270,Japeri,3714.485,4042.653,3741.051,3478.31,53712.416,55910.655,78906.383,89027.997,210089.906,220498.109,246410.392,322846.317,386239.839,427569.903,456290.27,520014.729,653756.648,708021.32,785348.095,935367.353,41612.274,42799.3,53492.595,64508.988,695368.922,750820.619,838840.69,999876.34,95391,96430,97337,98393,7289.67,7786.17,8617.9,10162.07
33,3302304,Laje do Muria‚,6434.298,9041.418,9768.921,10250.961,9975.823,18332.268,20445.895,23725.399,19772.017,22008.403,24845.167,27416.975,37732.571,42021.41,45882.485,51879.678,73914.709,91403.499,100942.468,113273.014,4541.213,6110.017,5609.733,9628.301,78455.921,97513.516,106552.202,122901.315,7491,7455,7424,7385,10473.36,13080.28,14352.4,16642.02
33,3302403,Maca‚,25561.935,31783.136,35110.04,40941.988,5594714.002,5884235.268,6839808.726,7199798.495,4714891.453,4940472.111,5737973.256,6637208.948,1304608.797,1407159.075,1818237.595,2230047.12,11639776.19,12263649.59,14431129.62,16107996.55,1971014.117,2163613.773,2879808.664,3073484.399,13610790.31,14427263.36,17310938.28,19181480.95,206748,212433,217951,224442,65832.75,67914.42,79425.83,85462.97
33,3302452,Macuco,2847.713,2338.769,2722.176,3032.203,16452.232,18595.573,19088.753,20112.361,38922.226,39235.742,38022.37,39817.5,28581.936,32669.4,37435.213,42945.57,86804.109,92839.484,97268.512,105907.635,7948.199,7772.822,6921.292,8103.825,94752.308,100612.306,104189.804,114011.459,5269,5299,5327,5360,17982.98,18987.04,19558.81,21270.79
33,3302502,Mag‚,14227.819,21137.35,24213.939,30992.393,224835.139,382679.133,420997.045,383083.024,1072900.412,1006719.044,1123570.632,1193847.172,943889.341,1035866.34,1096689.367,1252952.355,2255852.711,2446401.866,2665470.985,2860874.944,125291.634,139063.778,169711.847,185019.465,2381144.344,2585465.644,2835182.832,3045894.409,228150,228972,230568,232419,10436.75,11291.62,12296.51,13105.19
33,3302601,Mangaratiba,7276.488,8925.228,10158.683,13860.902,96098.516,99246.318,126015.908,137386.48,1346905.545,1459863.341,1963379.924,2087096.4,218284.083,242529.562,274416.409,324130.899,1668564.632,1810564.449,2373970.924,2562474.681,108604.97,122253.739,149973.763,162696.587,1777169.602,1932818.188,2523944.687,2725171.268,36311,37343,38201,39210,48943.01,51758.51,66070.12,69501.95
33,3302700,Maric ,4252.882,5925.412,6283.748,8350.143,621295.836,1568769.928,4278440.792,4195363.473,639545.229,1006134.034,1882647.795,2046383.65,544442.918,616339.437,658686.6,803776.477,1809536.865,3197168.812,6826058.935,7053873.743,69816.933,92242.3,139685.774,137685.569,1879353.798,3289411.111,6965744.709,7191559.313,127519,131355,135121,139552,14737.83,25042.15,51551.9,51533.19
33,3302809,Mendes,442.089,509.987,461.155,443.471,15900.474,13871.397,19186.536,23783.741,63043.44,66725.933,77334.358,84057.982,82382.081,89226.332,97469.159,108289.472,161768.084,170333.648,194451.208,216574.666,10873.831,11503.244,13281.279,13596.039,172641.915,181836.892,207732.487,230170.706,17940,17981,18024,18072,9623.3,10112.72,11525.33,12736.32
33,3302858,Mesquita,1596.077,2508.987,2354.608,1936.592,138812.679,109811.547,118135.053,133260.945,545077.233,552185.47,633880.991,735623.241,671026.567,699987.403,734933.544,906530.032,1356512.556,1364493.408,1489304.195,1777350.81,104310.374,106699.209,108280.204,110082.992,1460822.93,1471192.616,1597584.399,1887433.802,168403,168966,169537,170185,8674.57,8707.03,9423.22,11090.48
